ID,Type,Time,Latitude,Longitude
84,Residential burglary,2015-02-24 17:00:00,25.1416453,121.5103037
85,Residential burglary,2015-02-24 20:00:00,25.0846301,121.567043
86,Residential burglary,2015-02-25 5:00:00,25.0457437,121.5161821
87,Residential burglary,2015-02-25 8:00:00,25.106244,121.530126
88,Residential burglary,2015-02-26 14:00:00,25.0396828,121.5299403
89,Residential burglary,2015-02-26 20:00:00,25.0834121,121.5677934
90,Residential burglary,2015-02-27 2:00:00,25.0292384,121.4960796
91,Residential burglary,2015-02-27 11:00:00,25.1288871,121.4990095
92,Residential burglary,2015-02-27 23:00:00,25.0384502,121.5060268
93,Residential burglary,2015-02-28 20:00:00,25.0265347,121.4980649
94,Residential burglary,2015-03-04 2:00:00,25.1110219,121.5118844
95,Residential burglary,2015-03-04 17:00:00,25.0673299,121.5890404
96,Residential burglary,2015-03-04 17:10:00,25.087546,121.509111
97,Residential burglary,2015-03-05 5:00:00,25.1142676,121.5120065
98,Residential burglary,2015-03-05 14:00:00,25.0712076,121.6059471
99,Residential burglary,2015-03-06 2:00:00,25.086226,121.601838
100,Residential burglary,2015-03-07 5:00:00,25.1324444,121.4958586
101,Residential burglary,2015-03-08 17:00:00,25.0417336,121.5016288
102,Residential burglary,2015-03-08 23:00:00,25.0274004,121.5050416
103,Residential burglary,2015-03-10 11:00:00,25.0387967,121.5041426
104,Residential burglary,2015-03-10 11:10:00,25.0387967,121.5041426
105,Residential burglary,2015-03-10 23:00:00,25.128841,121.533632
106,Residential burglary,2015-03-10 23:10:00,25.046738,121.560764
107,Residential burglary,2015-03-12 2:00:00,25.0158852,121.5328386
108,Residential burglary,2015-03-12 11:00:00,25.0716019,121.5161753
109,Residential burglary,2015-03-12 17:00:00,25.024505,121.5271855
110,Residential burglary,2015-03-13 2:00:00,25.1365549,121.498989
111,Residential burglary,2015-03-14 2:00:00,24.9853697,121.5493757
112,Residential burglary,2015-03-15 2:00:00,25.0212289,121.4939482
113,Residential burglary,2015-03-16 8:00:00,25.0236222,121.5160928
114,Residential burglary,2015-03-16 8:10:00,25.0267169,121.529414
115,Residential burglary,2015-03-17 2:00:00,25.1099085,121.5204088
116,Residential burglary,2015-03-17 11:00:00,25.0453837,121.5847224
117,Residential burglary,2015-03-19 11:00:00,25.005707,121.5345865
118,Residential burglary,2015-03-19 23:00:00,25.1242186,121.5283818
119,Residential burglary,2015-03-20 11:00:00,25.032055,121.4938714
120,Residential burglary,2015-03-20 20:00:00,25.0460434,121.5052021
121,Residential burglary,2015-03-24 8:00:00,25.0626113,121.5467416
122,Residential burglary,2015-03-26 17:00:00,24.9983649,121.545216
123,Residential burglary,2015-03-27 17:00:00,25.001689,121.539583
124,Residential burglary,2015-03-28 20:00:00,25.0621912,121.5210128
125,Residential burglary,2015-03-29 8:00:00,25.0517805,121.5584054
126,Residential burglary,2015-03-29 17:00:00,25.0593897,121.5471451
127,Residential burglary,2015-03-30 8:00:00,25.0623992,121.5333152
128,Residential burglary,2015-03-30 11:00:00,25.127505,121.575518
129,Residential burglary,2015-03-31 8:00:00,25.0874689,121.5873952
130,Residential burglary,2015-03-31 23:00:00,25.019636,121.498797
